A,label
DW 테이블 담당자가 누구인가요? , 22
테이블 데이터 정합성이 맞지 않을 때 확인하는 절차가 어떻게 되나요? , 22
SQL 가이드 문서가 어느 위치에 있나요? , 22
테이블 적재작업명 규칙이 어떻게 되나요?, 22
테이블 생성 신청 방법은 어떻게 되나요?, 22
DW 테이블 관련 문의는 담당자에게 문의해주세요. (골드윙 메신저 '담당업무' 검색에서 'DW' 검색하면 나오는 담당자),22
DW 테이블 데이터 정합성이 맞지 않는 경우 확인 절차는 아래와 같습니다. , 22 
DW 테이블 담당자에게 확인 ('작업 정상 종료 확인' '적재방식' '보관주기 확인'), 22
코어 원천 테이블 담당자에게 확인 ('컬럼값 문의'), 22
SQL 가이드 문서는 아래 위치에서 확인가능하십니다., 22
'골드윙 포털사이트 게시판 > 99.일반 > DW SQL 가이드 문서'", 22
DW 작업 명명규칙은 아래와 같습니다. , 22
'b+시스템코드(3)_table name_서버구분(1)+작업주기(1)+Source Type(1)+Target Type(1) + [일련번호(2)].sh', 22
DW 테이블 신청 방법은 아래와 같습니다. , 22
테이블 신청전에 DW 담당자와 협의, 22
기안문 신청 (IT부서: ITSM / 본부부서:골드윙 전자결재), 22
금리가 가장 저렴한 대출 추천해 주세요,33
20대 한테 가장 인기가 많은 카드 추천해주세요,33
신용등급 올리는 법 알려주세요,33
학자비 저축 목적의 저금을 위한 적금 추천해주세요.,33
대출 조건이 어떻게 되나요?,33
대출 금리 확인하는 방법에 대해 안내해드릴게요. 자세한 내용은 [상세 보기]를 참조해주세요. ,33
('대출 조회/납입/상환' '상품몰바로가기' '금리인하요구권' '기준금리 변경' '대출금리 우대요건' '상세보기'), 33
맞춤카드 추천을 통해 내게 맞는 카드를 확인해보세요! ('맞춤카드추천 바로가기'), 33
신용상태 및 맞춤 신용관리팁 확인하실 수 있도록 MY신용관리(무료서비스)바로 안내해드릴게요. ,33
조회되는 신용정보는 신한은행 기준으로 제공되면 외부 평가기관 신용점수와는 달라요. ('MY신용관리'), 33
예/적금관련 상품은 다음과 같습니다. 궁금하신 항목을 선택해주세요. ('신상품' '금리높은 상품' '최근많이 가입한 상품'), 33
대출 신청으로 문의주셨군요. 어떤 업무를 도와드릴까요? ,33
('대출 신청(한도조회)' '대출 신청현황조회'  '대출 승인기간' '대출 승인기간' '대출 신청취소'  '대출계약철회권'), 33
